route_id,direction_id,time_period,speed_mph,district_name,Shape_Length
29,0,offpeak,28.90155751,4,71712.860836142
29,0,all_day,28.90155751,4,71712.860836142
29,1,offpeak,46.41532244,4,72350.7644341659
29,1,peak,31.27663278,4,72350.7644341659
29,1,all_day,37.37105061,4,72350.7644341659
154,0,peak,22.22457858,4,66862.9197342234
154,0,all_day,22.22457858,4,66862.9197342234
154,1,offpeak,23.79111425,4,66207.9446596923
154,1,peak,18.55507517,4,66207.9446596923
154,1,all_day,22.70225872,4,66207.9446596923
L5,0,offpeak,37.44289185,4,95169.3369627718
L5,0,peak,37.41968911,4,95169.3369627718
L5,0,all_day,37.4336073,4,95169.3369627718
L5,1,offpeak,39.68876295,4,95168.9814742108
L5,1,peak,40.37877304,4,95168.9814742108
L5,1,all_day,39.92379086,4,95168.9814742108
157,0,offpeak,20.21440874,2,13460.7786476568
157,0,peak,17.64849602,2,13460.7786476568
157,0,all_day,18.63404146,2,13460.7786476568
157,1,offpeak,18.02630811,2,20154.9554154646
157,1,peak,17.22075129,2,20154.9554154646
157,1,all_day,17.5474843,2,20154.9554154646
51,0,offpeak,15.01488825,7,13220.902220473
51,0,peak,14.81191574,7,13220.902220473
51,0,all_day,14.88638694,7,13220.902220473
51,1,offpeak,17.19703379,7,13203.7789540815
51,1,peak,14.48866841,7,13203.7789540815
51,1,all_day,15.5877432,7,13203.7789540815
3438,0,offpeak,26.41391155,3,30328.2405515851
3438,0,all_day,26.41391155,3,30328.2405515851
1888,0,offpeak,21.67000616,2,9102.50272298514
1888,0,peak,18.41269077,2,9102.50272298514
1888,0,all_day,20.46331197,2,9102.50272298514
1888,1,offpeak,22.24818226,2,11229.2169272453
1888,1,peak,22.95447376,2,11229.2169272453
1888,1,all_day,22.59581011,2,11229.2169272453
A - PM,0,peak,16.64601461,4,12839.8040384463
A - PM,0,all_day,16.64601461,4,12839.8040384463
32,1,offpeak,14.94938834,7,15105.6227887544
32,1,peak,14.35273402,7,15105.6227887544
32,1,all_day,14.57557902,7,15105.6227887544
32,0,offpeak,15.87787238,7,13438.8156642494
32,0,peak,15.3746831,7,13438.8156642494
32,0,all_day,15.57855254,7,13438.8156642494
172X,0,peak,32.77636262,4,124816.611259527
172X,0,all_day,32.77636262,4,124816.611259527
